Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,9.7691E-05,0.0021368,0.077058,0,0,0,1.2967,0.00026781,3.3642E-07,-2.9927E-07,0.00038607,-2.9674E-05,0.00030767,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/base_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/base_link.STL,,UR5_Adaptor-1;2DOF_Base_Piece-1;2DOF_Camera_Attachment_Arm-1;D405_Solid-1;D405_Holder-1;xm430_motor-1;xm430_motor-2,Base_Frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_finger,0.036347,-0.0010384,-1.18E-06,0,0,0,0.017953,2.6391E-06,4.0737E-08,5.5224E-14,2.8633E-06,-1.1329E-13,1.3464E-06,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/left_finger.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/left_finger.STL,,xm430_custom_bracket-1;simple_popcorn_fingertip-1,Left_Joint_Frame,Joint_Left_0,left_joint,revolute,-0.032,0.08,0,3.1416,0,1.5708,base_link,0,0,1,0,0,-1.57,1.57,,,,,,,,
right_finger,0.036347,-0.0010384,-1.18E-06,0,0,0,0.017953,2.6391E-06,4.0737E-08,5.5255E-14,2.8633E-06,-1.133E-13,1.3464E-06,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/right_finger.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://2DOF_Assembly_URDF/meshes/right_finger.STL,,xm430_custom_bracket-2;simple_popcorn_fingertip-2,Right_Joint_Frame,Joint_Right_0,right_joint,revolute,0.032,0.08,0,0,0,1.5708,base_link,0,0,-1,0,0,-1.57,1.57,,,,,,,,
